Sentence,Sentiment,label,cleaned_sentence
"In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",positive,2,In the second quarter of   the group s net profit rose to EUR  million from EUR  million in AprilJune
"The dividend will be paid on April 15 , 2008 to each of the shareholders who on the record date of April 8 , 2008 have been entered in the list of shareholders kept by the Finnish Central Securities Depository Ltd. .",neutral,1,The dividend will be paid on April    to each of the shareholders who on the record date of April    have been entered in the list of shareholders kept by the Finnish Central Securities Depository Ltd
"With the acquisition , the company will expand its offering to North , Central and South America , it said .",positive,2,With the acquisition  the company will expand its offering to North  Central and South America  it said
The cooperation with airBaltic is expected to lead to the transfer of Finncomm to the ownership of airBaltic in time .,neutral,1,The cooperation with airBaltic is expected to lead to the transfer of Finncomm to the ownership of airBaltic in time
Cargotec will also move Hallberg-Ivarsson 's service and installation business under the same roof with its service center for Kalmar and MacGregor solutions in Gothenburg .,neutral,1,Cargotec will also move HallbergIvarsson s service and installation business under the same roof with its service center for Kalmar and MacGregor solutions in Gothenburg
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,2,More staff has been recruited in Japan to further complement its network of close to  service locations in more than  countries worldwide
"After the transaction , Tikkurila has no powder coatings related operations .",neutral,1,After the transaction  Tikkurila has no powder coatings related operations
Finnish business software group AffectoGenimap Oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005 .,negative,0,Finnish business software group AffectoGenimap Oyj said its net profit halved to  mln euro    mln  in the first nine months of  from  mln euro    mln  in the same period of
"The mall will be financed on a parity basis by Pearl Plaza LLC , the joint venture company established by the Chinese investor Shanghai Industrial Investment Holdings Co Ltd , and SRV Group .",neutral,1,The mall will be financed on a parity basis by Pearl Plaza LLC  the joint venture company established by the Chinese investor Shanghai Industrial Investment Holdings Co Ltd  and SRV Group
"To achieve synergy targets related to the acquisition , Vaisala is consolidating its manufacturing , depot and data services , and finance activities currently located in Uniontown , Pennsylvania , St. Louis , Missouri and Durham , North Carolina .",neutral,1,To achieve synergy targets related to the acquisition  Vaisala is consolidating its manufacturing  depot and data services  and finance activities currently located in Uniontown  Pennsylvania  St Louis  Missouri and Durham  North Carolina
"says Brian Burton , Head of IT Security , Vodafone UK .",neutral,1,says Brian Burton  Head of IT Security  Vodafone UK
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,1,ASSA ABLOY Kaupthing Bank gave a  neutral  recommendation and a share price target of  crowns     euro on Swedish lock maker Assa Abloy AB
The acquisition is expected to take place by the end of August 2007 .,neutral,1,The acquisition is expected to take place by the end of August
UPDATE 1-Meggitt reiterates annual outlook after tough 2014,neutral,1,UPDATE Meggitt reiterates annual outlook after tough
"The Baltimore Police and Fire Pension , which has about $ 1.5 billion , lost about $ 3.5 million in Madoff Ponzi scheme .",negative,0,The Baltimore Police and Fire Pension  which has about   billion  lost about   million in Madoff Ponzi scheme
Acquisitions have been made and businesses have been well integrated .,positive,2,Acquisitions have been made and businesses have been well integrated
"In the sinter plant , limestone and coke breeze are mixed with the iron ore concentrate and sintered into lump form or sinter for use in the blast furnaces as a raw material for iron-making .",neutral,1,In the sinter plant  limestone and coke breeze are mixed with the iron ore concentrate and sintered into lump form or sinter for use in the blast furnaces as a raw material for ironmaking
Niam offer financial investors a high return via investments in funds that in turn invest in all types of properties .,neutral,1,Niam offer financial investors a high return via investments in funds that in turn invest in all types of properties
$IBIO  up 10% in premarket ready for lift off,positive,2,up  in premarket ready for lift off
The order also includes start-up and commissioning services .,neutral,1,The order also includes startup and commissioning services
"LKAB , headquartered in Lulea , Sweden , is a high-tech mining company producing upgraded iron ore products for the steel industry .",neutral,1,LKAB  headquartered in Lulea  Sweden  is a hightech mining company producing upgraded iron ore products for the steel industry
"In Finland , snow storms brought trees down on power lines , cutting off electricity for some 2,000 households .",negative,0,In Finland  snow storms brought trees down on power lines  cutting off electricity for some  households
Locked in some $FB puts for nice gain,negative,0,Locked in some  puts for nice gain
"The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006 .",positive,2,The fair value of the investment properties totaled EUR  mn  up from EUR  mn in
"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .",negative,0,Furthermore  sales of new passenger cars and light commercial vehicles in the country declined by   yearonyear last month
"However , the net sales declined to EUR 803.6 million from EUR 1.2 billion .",neutral,1,However  the net sales declined to EUR  million from EUR  billion
"Outokumpu of Finland , stainless steel manufacturer , plans to enter into a supply agreement with the Indian Railways .",positive,2,Outokumpu of Finland  stainless steel manufacturer  plans to enter into a supply agreement with the Indian Railways
"Tecnotree 's convergent charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls and raw data traffic for both mobile and fixed networks .",neutral,1,Tecnotree s convergent charging solution includes functionality for prepaid and postpaid billing  charging and rating of voice calls  video calls and raw data traffic for both mobile and fixed networks
$HYG Potential continuation Uptrend on a 60'-15'-4' charts http://stks.co/t1Qp6,positive,2,Potential continuation Uptrend on a  charts
"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .",neutral,1,Managing Director s comments   Net sales for the first quarter were notably lower than a year before  especially in Finland  Russia and the Baltic countries
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,2,In the third quarter of   net sales increased by   to EUR  mn  and operating profit by   to EUR  mn
Finnish food company Raisio Oyj HEL : RAIVV said on Friday it has wrapped up the divestment of its margarine operations to US sector player Bunge Ltd NYSE : BG for EUR80m USD119 .2 m .,neutral,1,Finnish food company Raisio Oyj HEL  RAIVV said on Friday it has wrapped up the divestment of its margarine operations to US sector player Bunge Ltd NYSE  BG for EURm USD  m
Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .,neutral,1,Chief executive officer OlliPekka Kallasvuo s changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple s iPhone and RIM s BlackBerry
"A coker crane will be supplied to Tesoro Corporation 's Golden Eagle Refinery in Martinez , California , while a similar crane will be delivered to BP 's Castell refinery in Spain .",neutral,1,A coker crane will be supplied to Tesoro Corporation s Golden Eagle Refinery in Martinez  California  while a similar crane will be delivered to BP s Castell refinery in Spain
"Long Position on $GOL,...Updating http://stks.co/fdmm",positive,2,Long Position on Updating
A quick `` one-stop-shop '' to understand the company .,neutral,1,A quick  onestopshop  to understand the company
"The steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations .",negative,0,The steelmaker said that the drop in profit was explained by the continuing economic uncertainty  mixed with the current drought in bank lending  resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations
Outokumpu 's chief executive Juha Rantanen expressed his confidence in China market .,positive,2,Outokumpu s chief executive Juha Rantanen expressed his confidence in China market
"The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam .",neutral,1,The inventors are Mukkavilli Krishna Kiran  Sabharwal Ashutosh and Aazhang Behnaam
AstraZeneca to Buy ZS Pharma for $2.7 Billion,positive,2,AstraZeneca to Buy ZS Pharma for  Billion
"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong",positive,2,OCBC to Buy Barclays Wealth Management Unit in Singapore Hong Kong
"At 10.33 am , Huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 .",neutral,1,At  am  Huhtamaki was the market s biggest faller   pct lower at  eur  while the OMX Helsinki  was  pct higher at   and the OMX Helsinki was up  pct at
"According shipping company Viking Line , the EU decision will have a significant financial impact .",neutral,1,According shipping company Viking Line  the EU decision will have a significant financial impact
SRV lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales .,neutral,1,SRV lowered its net sales estimate for the whole of  due to uncertainties in housing sales
"`` The new structure provides better communication , faster decision-making and cost savings , '' Proha said .",positive,2,The new structure provides better communication  faster decisionmaking and cost savings   Proha said
The Kyroskoski investment is to be completed in late 2011 and the +ä+ñnekoski investment in the spring of 2012 .,neutral,1,The Kyroskoski investment is to be completed in late  and the nekoski investment in the spring of
Incap Furniture is presently negotiating staff cuts .,neutral,1,Incap Furniture is presently negotiating staff cuts
Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,negative,0,Loss for the period totalled EUR  mn compared to a profit of EUR  mn in
"` Nordea 's definitely too big for Sampo to acquire , ' said an analyst ` But Sampo would appear to have an agenda for Nordea ahead of the privatisation .",neutral,1,Nordea s definitely too big for Sampo to acquire   said an analyst  But Sampo would appear to have an agenda for Nordea ahead of the privatisation
The company 's net sales in 2009 totalled MEUR 307.8 with an operating margin of 13.5 per cent .,neutral,1,The company s net sales in  totalled MEUR  with an operating margin of  per cent
"For 2009 , net profit was EUR3m and the company paid a dividend of EUR1 .30 apiece .",neutral,1,For   net profit was EURm and the company paid a dividend of EUR  apiece
"According to the company , the lay-offs will be temporary .",neutral,1,According to the company  the layoffs will be temporary
"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",positive,2,KESKO CORPORATION STOCK EXCHANGE RELEASE  AT      Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of KaukoTelko Ltd  a subsidiary wholly owned by Kesko
One of the largest projects of the magazine division of SanomaWSOY - Sanoma Magazines International in 2006 became launch of the Russian magazine Gloriya .,neutral,1,One of the largest projects of the magazine division of SanomaWSOY  Sanoma Magazines International in  became launch of the Russian magazine Gloriya
"In sales volume , Coca-Cola 's market share has decreased by 2.2 % to 24.2 % .",negative,0,In sales volume  CocaCola s market share has decreased by   to
"Following the increase , Huhtamaki Oyj 's registered share capital is EUR 358,706,290.00 and the number of shares outstanding is 105,501,850 .",neutral,1,Following the increase  Huhtamaki Oyj s registered share capital is EUR  and the number of shares outstanding is
The transaction value is CAD 15 million approximately EUR 10 million .,neutral,1,The transaction value is CAD  million approximately EUR  million
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,positive,2,Operating profit rose to EUR  mn from EUR  mn in the corresponding period in
It was decided that the auditors are reimbursed according to invoice .,neutral,1,It was decided that the auditors are reimbursed according to invoice
Aldata noted that its Voice Supply Chain Technology approach enables VDW to integrate with warehouse management systems .,neutral,1,Aldata noted that its Voice Supply Chain Technology approach enables VDW to integrate with warehouse management systems
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",neutral,1,In JanuaryJune   diluted loss per share stood at EUR  versus EUR  in the first half of
"Swiss bank Credit Suisse International will act as an investor in the locomotive manufacturing plant , the Astana administration said .",neutral,1,Swiss bank Credit Suisse International will act as an investor in the locomotive manufacturing plant  the Astana administration said
Danske Bank is Denmark 's largest bank with 3.5 million customers .,neutral,1,Danske Bank is Denmark s largest bank with  million customers
"Savon koulutuskuntayhtyma , Finland based company has awarded contract for specialist agricultural or forestry machinery .",positive,2,Savon koulutuskuntayhtyma  Finland based company has awarded contract for specialist agricultural or forestry machinery
Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,negative,0,Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls
ABN : 59 087 901 620 now represent 5.10 % of the voting rights and share capital of Citycon Oyj .,neutral,1,ABN      now represent   of the voting rights and share capital of Citycon Oyj
"$TSLA lots of green on the 5 min, watch the hourly $259.33 possible resistance currently @ $257.00",positive,2,lots of green on the  min watch the hourly  possible resistance currently
"The order includes a new Crecent former , headbox , and reel .",neutral,1,The order includes a new Crecent former  headbox  and reel
The total amount of subscription prices was recorded in the fund for invested non-restricted equity .,neutral,1,The total amount of subscription prices was recorded in the fund for invested nonrestricted equity
$YHOO A breakout above $29.83 would constitute a technical entry for the short term trader. http://stks.co/jkUF,positive,2,A breakout above  would constitute a technical entry for the short term trader
"New Delhi , Feb. 12 -- Korteniemi Anneli , Helokunnas Tuija , Peltola Marjo , Keskinen Jukka , Salminen Jussi , Tusa Kia and Janhonen Risto of Nokia Telecommunications Oy , Espoo , Finland have developed cable adjustment device .",neutral,1,New Delhi  Feb   Korteniemi Anneli  Helokunnas Tuija  Peltola Marjo  Keskinen Jukka  Salminen Jussi  Tusa Kia and Janhonen Risto of Nokia Telecommunications Oy  Espoo  Finland have developed cable adjustment device
"In addition to fireplace exports , demand for lining stone has exceeded the level of the earlier part of the year and will continue to be clearly brisker for the remainder of the year .",positive,2,In addition to fireplace exports  demand for lining stone has exceeded the level of the earlier part of the year and will continue to be clearly brisker for the remainder of the year
"The study is expected to provide proof of pharmacodynamic activity in humans , corroborate the safety profile and establish dose ranges for further therapeutic studies .",neutral,1,The study is expected to provide proof of pharmacodynamic activity in humans  corroborate the safety profile and establish dose ranges for further therapeutic studies
$AAPL Dips being bought up real quick. Higher lows fo sho,positive,2,Dips being bought up real quick Higher lows fo sho
"` After fixing our home-base , cutting costs and closing the non-profitable units , we are now looking at going forward , ' she said .",positive,2,After fixing our homebase  cutting costs and closing the nonprofitable units  we are now looking at going forward   she said
Marimekko Group 's full-year net sales are estimated to increase by about 10 % .,positive,2,Marimekko Group s fullyear net sales are estimated to increase by about
"However , the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 .",neutral,1,However  the orders received during the period under review fell by   quarteronquarter from the EUR  million recorded in the second quarter of
"Kesko offers Hilton to open a hotel on Kalinisky prospect in a 18,000-square metres building because of these difficulties .",neutral,1,Kesko offers Hilton to open a hotel on Kalinisky prospect in a square metres building because of these difficulties
Sanoma Magazines International will invite other shareholders holding approximately 15 % of the shares to sell their shares .,neutral,1,Sanoma Magazines International will invite other shareholders holding approximately   of the shares to sell their shares
The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,neutral,1,The subsidiary is setting up a facility for manufacturing highdensity interconnection printed circuit boards or PCBs at Nokia s special economic zone at Sriperumbudur near Chennai
"Erkki Jarvinen , President of Rautakirja and the head of the Sanoma Trade division , will leave his current tasks in spring 2009 for a similar position outside the Sanoma Group .",neutral,1,Erkki Jarvinen  President of Rautakirja and the head of the Sanoma Trade division  will leave his current tasks in spring  for a similar position outside the Sanoma Group
The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,negative,0,The net sales of the whole fiscal year  will be lower than in  and operating profit is estimated to be negative
"The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 .",neutral,1,The corresponding increase in the share capital  in total EUR  was registered in the Finnish Trade Register on May
"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year .",positive,2,Operating profit totalled EUR  mn  up from EUR  mn yearonyear
"Operating profit totalled EUR 9.6 mn , down from EUR 42.0 mn the year before .",neutral,1,Operating profit totalled EUR  mn  down from EUR  mn the year before
"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .",neutral,1,According to Honka Japan s Managing Director Marko Saarelainen  Honkarakenne exports about  ready made log houses to Japan a year
"Quarterly diluted EPS on continuing operations came in at 0.21 eur , compared with last year 's 0.12 eur .",positive,2,Quarterly diluted EPS on continuing operations came in at  eur  compared with last year s  eur
"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told .",neutral,1,Belarus OAO Lidskoe Pivo brewery  based in the Grodno Region  reported a   decrease in output to  million decaliters in JanuaryMarch   a representative in the administration of the company told
N-Viro operates processing facilities independently as well as in partnership with municipalities .,neutral,1,NViro operates processing facilities independently as well as in partnership with municipalities
"However , this increases signaling traffic which wastes network resources and allows fewer smartphones to connect .",neutral,1,However  this increases signaling traffic which wastes network resources and allows fewer smartphones to connect
The deal is subject to approval by the Norwegian competition authorities .,neutral,1,The deal is subject to approval by the Norwegian competition authorities
"The pilot project proved that RIFD technology is ideal for our purposes '' , comments Olli Saarinen , Material Handling Supervisor at Yara .",positive,2,The pilot project proved that RIFD technology is ideal for our purposes   comments Olli Saarinen  Material Handling Supervisor at Yara
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,1,LIGHTS OUT Before curfew  curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan
"Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn .",positive,2,Fiskars Brands report net sales of EUR  mn  up from EUR  mn
"The 5,000 megawatt wind farm being planned in Raahe would be built offshore in front of Ruukki 's Raahe Works .",neutral,1,The  megawatt wind farm being planned in Raahe would be built offshore in front of Ruukki s Raahe Works
Stora Enso 's target has been cut to EUR 4.85 from EUR 5.55 and Holmen 's target -- to SEK 135 from SEK 150 .,neutral,1,Stora Enso s target has been cut to EUR  from EUR  and Holmen s target  to SEK  from SEK
"Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .",negative,0,Due to the rapid decrease in net sales  personnel reductions have been carried out on a wider scale than initially expected
"In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . ''",neutral,1,In a media advisory  the NTSB said that after subsequent testing   the train detection system intermittently failed
"@harmongreg: $BBRY wkly, Inverse Head and Shoulders forming, triggers over 18.50, PO at least 30.80, watching http://stks.co/iPVJ",positive,2,harmongreg  wkly Inverse Head and Shoulders forming triggers over  PO at least  watching
"The company was supposed to deliver machinery to a veneer mill in the Tomsk region , in Russia .",neutral,1,The company was supposed to deliver machinery to a veneer mill in the Tomsk region  in Russia
"The contract covers the manufacturing , surface-treatment and installation of the steel structures .",neutral,1,The contract covers the manufacturing  surfacetreatment and installation of the steel structures
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period .,negative,0,Pretax loss totaled EUR mn compared to a loss of EUR mn in the corresponding period
The first of the two project phases is expected to be completed by the end of 2012 .,neutral,1,The first of the two project phases is expected to be completed by the end of
$aapl key is to breakout above 460 on solid volume or else it's a no trade for now,positive,2,key is to breakout above  on solid volume or else its a no trade for now
This is a much better process than using virgin paper as it requires less transportation of wood pulp from places like Finland and Canada .,positive,2,This is a much better process than using virgin paper as it requires less transportation of wood pulp from places like Finland and Canada
Olvi expects sales and market share to increase in the first quarter of 2010 .,positive,2,Olvi expects sales and market share to increase in the first quarter of
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral,1,KaukoTelko s centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year
"Elsewhere , the tendency is towards more developed packaging than before .",neutral,1,Elsewhere  the tendency is towards more developed packaging than before
$NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside,positive,2,held up well after the big gains Maybe were finally on the move on thisits still very undervalued and has major upside
"The mill 's raw material need will increase by 100,000 m3 of wood .",neutral,1,The mill s raw material need will increase by  m of wood
"In addition , Kone signed a two-year maintenance contract for the escalators .",positive,2,In addition  Kone signed a twoyear maintenance contract for the escalators
The value of the order is nearly EUR400m .,neutral,1,The value of the order is nearly EURm
HELSINKI AFX - Outokumpu said its technology unit has won a 28 mln eur contract from Bosnia-Herzegovina 's Aluminij dd Mostar to upgrade an anode plant .,positive,2,HELSINKI AFX  Outokumpu said its technology unit has won a  mln eur contract from BosniaHerzegovina s Aluminij dd Mostar to upgrade an anode plant
This solution is an extension to the existing online mediation solution delivered earlier by Comptel and IBM .,neutral,1,This solution is an extension to the existing online mediation solution delivered earlier by Comptel and IBM
"Westpac Banking Corp - Is to issue a benchmark , 3 year FRN deal in Euros .",neutral,1,Westpac Banking Corp  Is to issue a benchmark   year FRN deal in Euros
"Viking will pay EUR 130 million for the new ship , which will be completed in January 2008 .",neutral,1,Viking will pay EUR  million for the new ship  which will be completed in January
The difference can be explained by the fact that two shipping companies have stopped operating in the Gulf of Finland .,neutral,1,The difference can be explained by the fact that two shipping companies have stopped operating in the Gulf of Finland
Net sales have been eaten by the weak US dollar .,neutral,1,Net sales have been eaten by the weak US dollar
"The Finnish national carrier said net loss in April through June was euro26 million , down from a net profit of euro13 million a year earlier .",negative,0,The Finnish national carrier said net loss in April through June was euro million  down from a net profit of euro million a year earlier
Elcoteq SE is Europe 's largest contract electronics maker and has set up a unit in Bangalore in association with Avista Advisory of Mumbai .,neutral,1,Elcoteq SE is Europe s largest contract electronics maker and has set up a unit in Bangalore in association with Avista Advisory of Mumbai
Efore 's results for the last quarter showed an even faster improvement as the company managed to better source its components .,positive,2,Efore s results for the last quarter showed an even faster improvement as the company managed to better source its components
$SPY c'mon bulls buy DIPS!,positive,2,cmon bulls buy DIPS
CF2 Pty Ltd became a substantial holder in Renison Consolidated Mines NL on January 25 with 150 million shares ( 7.9 pc ) .,neutral,1,CF Pty Ltd became a substantial holder in Renison Consolidated Mines NL on January  with  million shares   pc
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,2,Foundries division reports its sales increased by   to EUR  mn from EUR  mn in the corresponding period in   and sales of the Machine Shop division increased by   to EUR  mn from EUR  mn in the corresponding period in
"The company said that it will supply the WCDMA 3G-HSPA radio network , including the modular , high capacity Nokia Flexi WCDMA base station in East Java , Bali , Sumatra and Batam .",positive,2,The company said that it will supply the WCDMA GHSPA radio network  including the modular  high capacity Nokia Flexi WCDMA base station in East Java  Bali  Sumatra and Batam
The groups 's turnover for the full fiscal year is expected to show a slight increase from the previous fiscal year .,positive,2,The groups s turnover for the full fiscal year is expected to show a slight increase from the previous fiscal year
Standard Chartered's Shares Plunge 7% After Fitch Downgrade,negative,0,Standard Chartereds Shares Plunge  After Fitch Downgrade
"Finnish newspaper publisher Sanoma , of media group SanomaWSOY , is merging its free sheets Uutislehti 100 and Metro as of mid-September 2008 to form a new free sheet to be named Metro .",neutral,1,Finnish newspaper publisher Sanoma  of media group SanomaWSOY  is merging its free sheets Uutislehti  and Metro as of midSeptember  to form a new free sheet to be named Metro
A memorandum of understanding on cooperation between the Finnish Global Chemical Company KEMIRA and Vietnam National Chemicals Group ( Vinachem ) was signed on this occasion .,positive,2,A memorandum of understanding on cooperation between the Finnish Global Chemical Company KEMIRA and Vietnam National Chemicals Group  Vinachem  was signed on this occasion
"Finland 's Technopolis is planning to bring the first section of a technopark on stream in St. Petersburg at the end of 2008 , Kari Mikkonen , vice president of Technopolis , told reporters in Helsinki .",neutral,1,Finland s Technopolis is planning to bring the first section of a technopark on stream in St Petersburg at the end of   Kari Mikkonen  vice president of Technopolis  told reporters in Helsinki
Finnish consumers prefer to buy the cheapest beer brand .,neutral,1,Finnish consumers prefer to buy the cheapest beer brand
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,2,Net sales totaled EUR  mn  up from EUR  mn in the corresponding period in
"Fiskars , the World 's  1 Scissors Brand TM , recently won Learning -« Magazine 's 2011 Teachers ' Choice Award for the Classroom .",positive,2,Fiskars  the World s   Scissors Brand TM  recently won Learning  Magazine s  Teachers  Choice Award for the Classroom
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",negative,0,Finnair s passenger load factor  which measures the number of sold seats as a share of all available seats  dropped by  percentage points to   in September
Delivery is due in the second half of 2011 .,neutral,1,Delivery is due in the second half of
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,1,FinancialWire tm is not a press release service  and receives no compensation for its news  opinions or distributions
"In the end of 2006 , the number of outlets will rise to 60-70 .",positive,2,In the end of   the number of outlets will rise to
"Glaston 's share GLA1V is listed on the NASDAQ OMX Helsinki , Mid Cap List .",neutral,1,Glaston s share GLAV is listed on the NASDAQ OMX Helsinki  Mid Cap List
Merging the two free sheets will clarify the market situation .,neutral,1,Merging the two free sheets will clarify the market situation
"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .",negative,0,Managing Director s comments   Net sales for the first quarter were notably lower than a year before  especially in Finland  Russia and the Baltic countries
"In addition to Russia , we now seek additional growth in Ukraine .",positive,2,In addition to Russia  we now seek additional growth in Ukraine
QPR ProcessGuide is available as a system solution with centralized storage and management of process content as well as a standalone desktop version ; QPR ProcessGuide Xpress .,neutral,1,QPR ProcessGuide is available as a system solution with centralized storage and management of process content as well as a standalone desktop version  QPR ProcessGuide Xpress
Operating profit fell to EUR 23.26 mn from EUR 32.86 mn .,neutral,1,Operating profit fell to EUR  mn from EUR  mn
Kalmar has been awarded a new 5-year contract to supply its Rough Terrain Container Handler RTCH .,positive,2,Kalmar has been awarded a new year contract to supply its Rough Terrain Container Handler RTCH
Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006 .,neutral,1,Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan
Glencore Studies Possible IPO for Agricultural Trading Business,positive,2,Glencore Studies Possible IPO for Agricultural Trading Business
Finnish elevators and escalators maker KONE Corporation said on Tuesday ( 18 March ) that it has received a major order from Sir Robert McAlpine to supply all elevators and escalators for the Watermark Place project in the City of London .,positive,2,Finnish elevators and escalators maker KONE Corporation said on Tuesday   March  that it has received a major order from Sir Robert McAlpine to supply all elevators and escalators for the Watermark Place project in the City of London
- Counter your competitor 's strengths and target their weaknesses .,neutral,1,Counter your competitor s strengths and target their weaknesses
Talentum 's net sales in September were smaller than expected .,neutral,1,Talentum s net sales in September were smaller than expected
$GPRO down 25% since Tue morning.,negative,0,down  since Tue morning
"For the first nine months of 2010 , Talvivaara 's net loss narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009 .",positive,2,For the first nine months of   Talvivaara s net loss narrowed to EUR  million from EUR  million for the same period of
"The operating loss amounted to EUR 0.8 mn , compared to a profit of EUR 3.9 mn a year earlier .",neutral,1,The operating loss amounted to EUR  mn  compared to a profit of EUR  mn a year earlier
"$ENDP - we saw a large order in this one last week, someone also accumulating May & Jun 35's Calls today",positive,2,we saw a large order in this one last week someone also accumulating May  Jun s Calls today
The new SEPA cads will replace Finnish bank cards .,neutral,1,The new SEPA cads will replace Finnish bank cards
Choose from a Giant Countdown with red head or rainbow trout -- or the Giant Shad Rap in perch color .,neutral,1,Choose from a Giant Countdown with red head or rainbow trout  or the Giant Shad Rap in perch color
"In Finland , Hamina Cargo Terminal , of Finnish Nurminen Logistics , has purchased a warehouse with ground lease rights in the Port of Hamina .",neutral,1,In Finland  Hamina Cargo Terminal  of Finnish Nurminen Logistics  has purchased a warehouse with ground lease rights in the Port of Hamina
"The ship cranes , which will be manufactured by MacGREGOR 's partner plants in China , will be delivered between 2008-2010 for vessels ordered by Chinese COSCO , German Peter Dohle and Hong Kong based Cido Shipping .",neutral,1,The ship cranes  which will be manufactured by MacGREGOR s partner plants in China  will be delivered between  for vessels ordered by Chinese COSCO  German Peter Dohle and Hong Kong based Cido Shipping
The current reference grade instruments are challenging to operate due to their high price and complexity for routine use .,negative,0,The current reference grade instruments are challenging to operate due to their high price and complexity for routine use
Most of the dividend will go to the Grimaldi family .,neutral,1,Most of the dividend will go to the Grimaldi family
